gene_index	gene_name
11017	Lyz1
11018	Lyz2
11043	Maf
11046	Mafb
11047	Maff
11050	Mag
11069	Mal
11094	Manf
11143	Mapk8ip2
11154	Mapt
11166	Marcks
11167	Marcksl1
11177	Marveld2
11190	Matk
11191	Matn1
11192	Matn2
11193	Matn3
11194	Matn4
11201	Mbd1
11204	Mbd4
11219	Mbp
11227	Mcam
11236	Mcf2l
11256	Mcpt1
11257	Mcpt2
11258	Mcpt4
11266	Mdfi
11273	Mdk
11319	Mef2c
11321	Mefv
11322	Meg3
11330	Meig1
11337	Meox1
11354	Metrnl
11383	Mfap2
11386	Mfap4
11387	Mfap5
11391	Mfi2
11394	Mfng
11422	Mgl2
11423	Mgll
11425	Mgp
11427	Mgst1
11429	Mgst3
11430	Mia1
11433	Miat
11439	Micalcl
11450	Mif
11550	Mlana
11553	Mlf1
11580	Mmd2
11587	Mmp12
11588	Mmp13
11589	Mmp14
11592	Mmp17
11593	Mmp19
11594	Mmp2
11602	Mmp3
11604	Mmp8
11605	Mmp9
11606	Mmrn1
11607	Mmrn2
11614	Mndal
11615	Mns1
11646	Morn3
11648	Morn5
11661	Mpeg1
11680	Mpped2
11686	Mpz
11689	Mpzl3
11694	Mrc1
11700	Mrgpra2b
11796	Ms4a1
11802	Ms4a4b
11803	Ms4a4c
11805	Ms4a6b
11806	Ms4a6c
11807	Ms4a6d
11808	Ms4a7
11823	Msln
11826	Msmp
11840	Mt1
11841	Mt2
11842	Mt3
11850	Mtap1b
11872	Mtfp1
11915	Muc1
11920	Muc4
11922	Muc5b
11944	Mup6
11951	Mustn1
11960	Mxd1
11965	Mxra8
11968	Myb
11983	Myct1
11992	Myh11
12003	Myl1
12007	Myl2
12013	Myl9
12015	Mylk
12028	Myo1b
12038	Myo5c
12044	Myoc
12055	Myoz3
12108	Naip2
12116	Nanos2
12130	Napsa
12141	Nat2
12153	Nbeal2
12154	Nbl1
12159	Ncam2
12172	Ncf1
12173	Ncf2
12174	Ncf4
12195	Ncrna00086
12208	Ndrg1
12224	Ndufa4l2
12258	Neat1
12259	Neb
12281	Nek2
12296	Nes
12308	Neurl3
12314	Neurog2
12322	Nfatc1
12323	Nfatc2
12327	Nfe2
12338	Nfkbia
12340	Nfkbid
12343	Nfkbiz
12352	Ng23
12356	Ngf
12376	Niacr1
12378	Nid1
12382	Ninj1
12399	Nkain2
12401	Nkain4
12403	Nkapl
12406	Nkg7
12413	Nkx2-1
12414	Nkx2-2
12433	Nlrp12
12437	Nlrp3
12443	Nmb
